"Year","Municipality","fetal_numb_pc","fetal_numb","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","counter","count_balance","count_treat","fetal_numb25","fetal_numb25_sum"
2011,9009,10.71524243236,36,0,0,0,0,0,0,0,12,130582,11,5,41,52,4,2359,770,502,1,0,0.916666666666667,0.0277777777777778,0.0277777777777778,0,0,0,0.0277777777777778,24.4444444444444,7.83333333333333,0.277777777777778,0.5,0.222222222222222,0.0555555555555556,0.25,0.666666666666667,0.0277777777777778,0,0.657142857142857,0.228571428571429,0,0.114285714285714,0.416666666666667,0.138888888888889,0.0277777777777778,6.1733298,6239,4.9097099,4961.9004,33597,12,0.428571428571429,0,0,0,0.696969696969697,1,10,2,1,10
2012,9009,10.71524243236,36,0,0,0,0,0,0,0,12,130582,11,5,41,52,4,2359,703,371,0.972222222222222,0,0.861111111111111,0.0277777777777778,0,0,0,0.0277777777777778,0.0833333333333333,25.7222222222222,9.77777777777778,0.222222222222222,0.472222222222222,0.305555555555556,0.0555555555555556,0.0555555555555556,0.555555555555556,0.222222222222222,0.111111111111111,0.5,0.361111111111111,0,0.138888888888889,0.6,0.0857142857142857,0.0857142857142857,6.1733298,6239,4.9097099,4961.9004,33597,12,0.0571428571428571,0,0,0,0.612903225806452,1,10,2,1,10
2013,9009,11.6081793017234,39,0,0,0,0,0,0,0,12,130582,11,5,41,52,4,2359,698,748,0.948717948717949,0,0.743589743589744,0.0769230769230769,0.0256410256410256,0,0,0,0,25.3589743589744,9.82051282051282,0.230769230769231,0.435897435897436,0.333333333333333,0,0.153846153846154,0.487179487179487,0.307692307692308,0.0512820512820513,0.756756756756757,0.108108108108108,0.027027027027027,0.108108108108108,0.657894736842105,0.0789473684210526,0.0789473684210526,6.1733298,6239,4.9097099,4961.9004,33597,12,0.222222222222222,0,0,0,0.857142857142857,1,10,2,1,10
2014,9009,11.9058249248445,40,0,0,0,0,0,0,0,12,130582,11,5,41,52,4,2359,875,1055,0.975,0,0.85,0.025,0.075,0,0,0,0,26.775,10.55,0.175,0.375,0.45,0,0.2,0.35,0.25,0.2,0.575,0.225,0.025,0.175,0.657894736842105,0.157894736842105,0.105263157894737,6.1733298,6239,4.9097099,4961.9004,33597,12,0.236842105263158,0,0,0,0.848484848484849,1,10,2,1,10
2015,9009,11.0128880554811,37,0,0,0,0,0,0,0,12,130582,11,5,41,52,4,2359,819,929,0.864864864864865,0,0.702702702702703,0.0810810810810811,0,0,0,0,0,27.1351351351351,11,0.135135135135135,0.513513513513513,0.351351351351351,0,0.108108108108108,0.297297297297297,0.459459459459459,0.135135135135135,0.675675675675676,0.162162162162162,0.027027027027027,0.135135135135135,0.513513513513513,0.216216216216216,0.0540540540540541,6.1733298,6239,4.9097099,4961.9004,33597,12,0.108108108108108,0,0,0,0.7,1,10,2,1,10
2016,9009,12.2034705479656,41,1,1,0,0,0,0,0,12,130582,11,5,41,52,4,2359,692,2163,0.926829268292683,0,0.804878048780488,0.0731707317073171,0,0,0,0,0,25.4146341463415,10.1707317073171,0.121951219512195,0.634146341463415,0.24390243902439,0.024390243902439,0.170731707317073,0.268292682926829,0.463414634146341,0.0731707317073171,0.609756097560976,0.24390243902439,0.024390243902439,0.121951219512195,0.55,0.25,0.1,6.1733298,6239,4.9097099,4961.9004,33597,12,0.125,0,0,0,0.5,1,10,2,1,10
2017,9009,11.3105336786023,38,1,1,1,1,1,1,0,12,130582,11,5,41,52,4,2359,660,2153,0.973684210526316,0,0.763157894736842,0.0789473684210526,0,0,0.0263157894736842,0,0,26.3157894736842,11.5789473684211,0.131578947368421,0.552631578947368,0.315789473684211,0,0.0789473684210526,0.263157894736842,0.447368421052632,0.210526315789474,0.648648648648649,0.108108108108108,0.027027027027027,0.216216216216216,0.714285714285714,0.114285714285714,0,6.1733298,6239,4.9097099,4961.9004,33597,12,0.205882352941176,0,0,0,1,1,10,2,1,10
2008,9010,11.0696744655927,206,0,0,0,0,0,0,0,13,727034,9,7,7,68,4,3990,71,450,1,0,0.936893203883495,0.029126213592233,0.0145631067961165,0.00485436893203883,0,0.00970873786407767,0.00970873786407767,26.8446601941748,8.64077669902913,0.169902912621359,0.475728155339806,0.354368932038835,0.0388349514563107,0.169902912621359,0.631067961165049,0.155339805825243,0.00485436893203883,0.407960199004975,0.36318407960199,0.0199004975124378,0.208955223880597,0.0388349514563107,0.441747572815534,0.058252427184466,2.39656,16748,1.94973,13625.006,186094,5,0.00497512437810945,0,0,0,0,1,10,5,1,10
2009,9010,9.83373993788086,183,0,0,0,0,0,0,0,13,727034,9,7,7,68,4,3990,57,331,1,0.00546448087431694,0.92896174863388,0.0218579234972678,0.0273224043715847,0.00546448087431694,0.00546448087431694,0,0.00546448087431694,26.5846994535519,8.98360655737705,0.163934426229508,0.497267759562842,0.33879781420765,0.0218579234972678,0.147540983606557,0.622950819672131,0.207650273224044,0,0.389830508474576,0.389830508474576,0.0169491525423729,0.203389830508475,0.092896174863388,0.524590163934426,0.0655737704918033,2.39656,16748,1.94973,13625.006,186094,5,0.00564971751412429,0,0,0,0,1,10,5,1,10
2010,9010,8.11417885584704,151,0,0,0,0,0,0,0,13,727034,9,7,7,68,4,3990,49,355,1,0,0.947019867549669,0.0198675496688742,0.00662251655629139,0.00662251655629139,0,0.0132450331125828,0.0132450331125828,26.0066225165563,8.44370860927152,0.231788079470199,0.483443708609272,0.28476821192053,0.0529801324503311,0.152317880794702,0.66887417218543,0.125827814569536,0,0.466216216216216,0.317567567567568,0.00675675675675676,0.209459459459459,0.178807947019868,0.417218543046358,0.0927152317880795,2.39656,16748,1.94973,13625.006,186094,5,0.182432432432432,0,0,0,0,1,10,5,1,10
