"Year","Municipality","birth_numb","fetal_growth","lbw","lbw_v","weight","female","gest_age","preterm","preterm_v","resp_problem","height","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb_cat","wrk","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","tao_lg5_mt_lmbirth","tao_lg4_mt_lmbirth","tao_lg3_mt_lmbirth","tao_lg2_mt_lmbirth","tao_lg1_mt_lmbirth","tao_lg0_mt_lmbirth","tao_ld1_mt_lmbirth","tao_ld2_mt_lmbirth","tao_ld3_mt_lmbirth","tao_ld4_mt_lmbirth","State","counter","count_balance","count_treat","birth_numb25","birth_numb25_sum"
2008,7002,100,77.6043479440629,0.09,0.03,3027.69,0.565656565656566,38.7979797979798,0.0707070707070707,0.0303030303030303,0.06,49.58,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,83,1320,0.76,0,0,0,0,0,0,0,0,0,24.92,6.34,0.1,0.77,0.13,0.17,0.46,0.3,0.06,0.01,0.42,0.53,0,0.05,0.86,0,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.92,0.21,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2009,7002,255,78.2938264836532,0.109803921568627,0.00784313725490196,3061.46274509804,0.482352941176471,39.0352941176471,0.0509803921568627,0.00392156862745098,0.0901960784313725,49.4352941176471,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,148,1264,0.811764705882353,0.00392156862745098,0,0,0,0,0,0,0,0.00392156862745098,23.6196078431373,7.2,0.262745098039216,0.576470588235294,0.16078431372549,0.0941176470588235,0.419607843137255,0.415686274509804,0.0470588235294118,0.0235294117647059,0.435294117647059,0.517647058823529,0.00392156862745098,0.0431372549019608,0.784313725490196,0.00392156862745098,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.956862745098039,0.192156862745098,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2010,7002,297,77.3440126206144,0.131313131313131,0.0101010101010101,3023.22222222222,0.518518518518518,39,0.0707070707070707,0.00336700336700337,0.0437710437710438,49.4006734006734,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,161,921,0.841750841750842,0,0,0,0,0,0,0,0,0,24.4680134680135,6.56565656565657,0.202020202020202,0.619528619528619,0.178451178451178,0.111111111111111,0.481481481481481,0.404040404040404,0.00336700336700337,0,0.34006734006734,0.619528619528619,0.0101010101010101,0.0303030303030303,0.838383838383838,0.00673400673400673,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.956228956228956,0.111111111111111,0,1,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2011,7002,341,79.8323964188341,0.0467289719626168,0.00934579439252336,3124.44859813084,0.486803519061584,39.0821114369502,0.0439882697947214,0.00879765395894428,0.0234604105571848,50.0884146341463,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,127,938,0.882697947214076,0.00586510263929619,0,0,0,0.00293255131964809,0,0,0,0.00293255131964809,24.4633431085044,6.64222873900293,0.225806451612903,0.56891495601173,0.205278592375367,0.134897360703812,0.425219941348974,0.395894428152493,0.0439882697947214,0,0.346041055718475,0.580645161290323,0.0117302052785924,0.06158357771261,0.932551319648094,0.00293255131964809,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.970674486803519,0.131964809384164,0,0,1,0,0,0,0,0,0,0,7,1,10,4,1,10
2012,7002,288,79.3016521433319,0.0601503759398496,0.0037593984962406,3098.90977443609,0.489583333333333,38.9930555555556,0.0590277777777778,0.00694444444444444,0.0381944444444444,49.6764705882353,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,0,0,0.916666666666667,0.00347222222222222,0,0,0.00347222222222222,0,0,0,0,0,23.3055555555556,6.375,0.28125,0.590277777777778,0.128472222222222,0.138888888888889,0.458333333333333,0.402777777777778,0,0,0.430555555555556,0.520833333333333,0.00694444444444444,0.0416666666666667,0.951388888888889,0,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,1,0.125,0,0,0,1,0,0,0,0,0,0,7,1,10,4,1,10
2013,7002,290,78.9055699556049,0.0784313725490196,0,3091.10196078431,0.546712802768166,39.1275862068966,0.0482758620689655,0.00344827586206897,0.0689655172413793,49.6281588447653,0,0,0,0,0,0,0,10,28947,12,6,52,69,4,1206,0,0,0.879310344827586,0.00344827586206897,0,0,0,0,0,0,0,0.00344827586206897,24.3551724137931,6.62068965517241,0.244827586206897,0.555172413793103,0.2,0.106896551724138,0.472413793103448,0.420689655172414,0,0,0.444827586206897,0.506896551724138,0.00689655172413793,0.0413793103448276,0.910344827586207,0,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.972413793103448,0.16551724137931,0,0,0,0,1,0,0,0,0,0,7,1,10,4,1,10
2014,7002,334,79.512331965398,0.0645161290322581,0.0032258064516129,3104.10967741935,0.495495495495495,38.9191616766467,0.0479041916167665,0.00598802395209581,0.0538922155688623,49.9198717948718,1,1,0,0,0,0,0,10,28947,12,6,52,69,4,1206,60,953,0.874251497005988,0.00598802395209581,0,0.0029940119760479,0,0,0,0,0,0.0029940119760479,23.5658682634731,7.58083832335329,0.24251497005988,0.610778443113772,0.146706586826347,0.0868263473053892,0.344311377245509,0.437125748502994,0.131736526946108,0,0.464071856287425,0.5,0.00898203592814371,0.0269461077844311,0.838323353293413,0.00898203592814371,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.952095808383233,0.149700598802395,0,0,0,0,0.131736526946108,0.868263473053892,0,0,0,0,7,1,10,4,1,10
2015,7002,294,79.0271609492003,0.0625,0.00367647058823529,3089.72058823529,0.476190476190476,38.9829351535836,0.0580204778156997,0,0.0714285714285714,49.6950354609929,1,1,1,1,1,1,0,10,28947,12,6,52,69,4,1206,120,894,0.921768707482993,0.0102040816326531,0,0.00340136054421769,0.00340136054421769,0,0,0,0,0.00340136054421769,24.1836734693878,7.78571428571429,0.227891156462585,0.595238095238095,0.17687074829932,0.0986394557823129,0.306122448979592,0.397959183673469,0.197278911564626,0,0.377551020408163,0.561224489795918,0.0204081632653061,0.0408163265306122,0.843537414965986,0.0170068027210884,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.989795918367347,0.108843537414966,0,0,0,0,0,0,1,0,0,0,7,1,10,4,1,10
2016,7002,237,77.9372097732783,0.0867579908675799,0.0182648401826484,3039.45205479452,0.514767932489452,38.7763713080169,0.0717299578059072,0.0210970464135021,0.0717299578059072,49.3185840707965,1,1,1,1,1,1,1,10,28947,12,6,52,69,4,1206,62,1123,0.936708860759494,0,0,0,0,0,0,0,0,0,24.4978902953587,7.51898734177215,0.20253164556962,0.624472573839662,0.172995780590717,0.139240506329114,0.244725738396624,0.447257383966245,0.168776371308017,0,0.409282700421941,0.527426160337553,0.00421940928270042,0.0590717299578059,0.983122362869198,0.00421940928270042,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.983122362869198,0.105485232067511,0,0,0,0,0,0,0,1,0,0,7,1,10,4,1,10
2017,7002,254,77.4844741315351,0.080168776371308,0.0126582278481013,3018.76793248945,0.570866141732283,38.8307086614173,0.062992125984252,0.0118110236220472,0.0551181102362205,49.2690763052209,1,1,1,1,1,1,1,10,28947,12,6,52,69,4,1206,56,841,0.913385826771654,0,0,0,0,0,0,0,0,0,23.4330708661417,7.81889763779528,0.267716535433071,0.594488188976378,0.137795275590551,0.0708661417322835,0.34251968503937,0.425196850393701,0.161417322834646,0,0.523622047244094,0.409448818897638,0.0118110236220472,0.0551181102362205,0.984251968503937,0,0,34.14262,10046,24.964211,7345.2197,7034,57,1,1,0,0.976377952755906,0.106299212598425,0,0,0,0,0,0,0,0,1,0,7,1,10,4,1,10
2008,7003,93,83.0887320561029,0.043010752688172,0,3278.20430107527,0.462365591397849,39.6043956043956,0.021978021978022,0,0.032258064516129,49.7956989247312,0,0,0,0,0,0,0,10,27580,12,7,20,51,3,1127,128,877,0.376344086021505,0,0,0,0,0,0,0,0,0,24.2795698924731,7.9247311827957,0.172043010752688,0.67741935483871,0.150537634408602,0.043010752688172,0.354838709677419,0.505376344086022,0.0752688172043011,0.021505376344086,0.623655913978495,0.290322580645161,0.010752688172043,0.0752688172043011,0.827956989247312,0,0,34.226212,8954,16.527491,4323.7568,6576,44,1,1,0,0,0.78494623655914,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2009,7003,235,81.6903688549475,0.0854700854700855,0.0128205128205128,3210.13247863248,0.504273504273504,39.1091703056769,0.0567685589519651,0.0174672489082969,0.0340425531914894,49.7863247863248,0,0,0,0,0,0,0,10,27580,12,7,20,51,3,1127,113,1006,0.659574468085106,0,0,0,0,0,0,0,0,0,24.4,7.65106382978723,0.204255319148936,0.591489361702128,0.204255319148936,0.0723404255319149,0.4,0.4,0.0978723404255319,0.0297872340425532,0.608510638297872,0.340425531914894,0.00425531914893617,0.0468085106382979,0.765957446808511,0,0,34.226212,8954,16.527491,4323.7568,6576,44,1,1,0,0,0.91063829787234,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2010,7003,201,82.4074887918053,0.0646766169154229,0.0149253731343284,3247.10447761194,0.477611940298507,39.2613065326633,0.0301507537688442,0.0050251256281407,0.0497512437810945,49.5174129353234,0,0,0,0,0,0,0,10,27580,12,7,20,51,3,1127,129,811,0.716417910447761,0,0,0,0,0,0,0,0,0,23.8557213930348,6.73134328358209,0.263681592039801,0.577114427860697,0.159203980099502,0.0895522388059701,0.497512437810945,0.402985074626866,0.00995024875621891,0,0.562189054726368,0.36318407960199,0,0.0746268656716418,0.54726368159204,0.00497512437810945,0,34.226212,8954,16.527491,4323.7568,6576,44,1,1,0,0,0.915422885572139,0,1,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2011,7003,212,83.2107116118443,0.0295566502463054,0,3265.62068965517,0.533018867924528,39.218009478673,0.018957345971564,0,0.0330188679245283,50.0917874396135,0,0,0,0,0,0,0,10,27580,12,7,20,51,3,1127,141,1180,0.584905660377358,0,0,0,0,0,0,0,0,0,24.9858490566038,6.87735849056604,0.193396226415094,0.589622641509434,0.216981132075472,0.0990566037735849,0.443396226415094,0.424528301886792,0.0330188679245283,0,0.613207547169811,0.283018867924528,0.0141509433962264,0.089622641509434,0.44811320754717,0.0235849056603774,0,34.226212,8954,16.527491,4323.7568,6576,44,1,1,0,0,0.858490566037736,0,0,1,0,0,0,0,0,0,0,7,1,10,4,1,10
